id,title,status,action,time_min,context,cost,priority,blocked_by,decision_needed,doc_link,requires_car_down,requires_parts,notes
SIDE-BBK-001,Recover exact front Superlite and Corvette rotor specifications,ready,research,45,desk,0,high,,,bbk/PROJECT.md#resume-here--next-useful-actions,false,false,Use stored CAD receipts notes or later part inspection; record exact caliper part number piston sizes rotor application diameter thickness and effective radius inputs
SIDE-BBK-002,Recover final front adapter CAD and interface definition,ready,cad,60,cad,0,critical,,,bbk/PROJECT.md#front--selected-architecture,false,false,Locate final printed-fit geometry; record material intent thickness offsets bolt sizes grades thread engagement and knuckle/caliper interfaces
SIDE-BBK-003,Derive defensible front adapter structural load cases,blocked,research,90,desk,0,critical,SIDE-BBK-001;SIDE-BBK-002,,bbk/PROJECT.md#front-adapter-verification-strategy,false,false,Use hydraulic pressure piston area pad friction effective radius and actual mount geometry rather than arbitrary vehicle-g bracket loading
SIDE-BBK-004,Run front adapter FEA and hand-check critical interfaces,blocked,cad,120,cad,0,critical,SIDE-BBK-003,,bbk/PROJECT.md#front-adapter-verification-strategy,false,false,Check stress deflection bearing net section tear-out bolt shear/tension thread engagement contact assumptions and fatigue-sensitive concentrations
SIDE-BBK-005,Recover LS430 Nissan rear CAD and exact component applications,ready,cad,60,cad,0,high,,,bbk/PROJECT.md#rear--valid-architecture-not-accepted-as-final,false,false,Document the known-valid geometry and exactly what hub modification/custom work made the architecture unattractive
SIDE-BBK-006,Recompute front rear brake torque ratio from exact hardware,blocked,research,90,desk,0,critical,SIDE-BBK-001;SIDE-BBK-005,,bbk/PROJECT.md#hydraulicsystem-concept,false,false,Verify prior balance conclusion independently using piston areas pad friction assumptions and effective rotor radii
SIDE-BBK-007,Verify Highlander master cylinder candidate and pedal effects,blocked,research,60,desk,0,high,SIDE-BBK-001;SIDE-BBK-005,,bbk/PROJECT.md#hydraulicsystem-concept,false,false,Verify exact application and bore then quantify displacement pedal travel hydraulic leverage and pedal-force change
SIDE-BBK-008,Decide whether to accept revise or replace rear architecture,blocked,research,60,desk,0,high,SIDE-BBK-005;SIDE-BBK-006,DEC-SIDE-BBK-001,bbk/PROJECT.md#rear-decision-gate,false,false,Use the viable LS430 Nissan concept as baseline and only pursue alternatives if they materially reduce irreversible machining or improve serviceability
SIDE-BBK-009,Release permanent front adapter for fabrication,blocked,fabricate,30,computer,,critical,SIDE-BBK-004;SIDE-BBK-006;SIDE-BBK-007,,bbk/PROJECT.md#where-the-project-actually-stopped,false,false,Do not release until structural and system-level verification is documented
SIDE-EPS-001,Inventory and identify actual Versa EPS and MR2 pump hardware,ready,measure,45,garage,0,high,,,eps/PROJECT.md#resume-here--next-useful-actions,false,true,Record donor markings part numbers shaft features ECU/module configuration and overall dimensions; do not modify parts yet
SIDE-EPS-002,Identify Celica column and intermediate-shaft spline interfaces,ready,research,60,desk,0,critical,,,eps/PROJECT.md#resume-here--next-useful-actions,false,false,Research available spline standards and OEM service information first; later verify against spare-column measurements
SIDE-EPS-003,Identify Versa EPS input/output spline standards and available couplers,ready,research,60,desk,0,critical,,,eps/PROJECT.md#resume-here--next-useful-actions,false,false,Look for standard commercial couplers U-joints or OEM intermediate-shaft parts that avoid custom spline cutting
SIDE-EPS-004,Measure spare Celica column and donor EPS mechanical interfaces,ready,measure,60,garage,0,critical,SIDE-EPS-001,,eps/PROJECT.md#resume-here--next-useful-actions,false,true,Measure splines flats pinch-bolt features telescoping sections mount datums shaft lengths and packaging envelopes before any cuts
SIDE-EPS-005,Build EPS mechanical interface option matrix,blocked,research,60,desk,0,critical,SIDE-EPS-002;SIDE-EPS-003;SIDE-EPS-004,DEC-SIDE-EPS-001,eps/PROJECT.md#immediate-decision-gate,false,false,Compare direct spline couplers OEM shaft segments clamp-style U-joints machined adapters and any welded option against DFM safety serviceability and repeatability
SIDE-EPS-006,CAD complete column-mounted EPS assembly before cutting hardware,blocked,cad,120,cad,0,critical,SIDE-EPS-005,,eps/PROJECT.md#architecture-candidates,false,false,Model motor clearance steering-wheel position mount reaction path shaft joints and collapse/telescoping behavior using spare-column geometry
SIDE-EPS-007,Define EPS housing reaction mount and structural load path,blocked,cad,90,cad,0,high,SIDE-EPS-006,,eps/PROJECT.md#architecture-candidates,false,false,Design a reproducible bracket/mount into the Celica dash/column structure and identify loads/verification required before bench prototype
SIDE-EPS-008,Bench-prototype selected EPS interface on spare hardware,blocked,bench-test,120,bench,,critical,SIDE-EPS-006;SIDE-EPS-007,,eps/PROJECT.md#resume-here--next-useful-actions,false,true,Only modify spare hardware after complete CAD closes; verify rotation alignment coupler engagement mount stiffness and fail-safe manual steering
